page,row,brand,pattern,size,rawQuantity,quantity,sku,currentQuantity,price,publication,identityConfidence,imageStatus,group,notes
"1","20","Greforce","GRT33","9.5r17.5","09","9","greforce-grt33-95r175","9","185","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","21","Greforce","GRT33","235/75r17.5","13","13","greforce-grt33-23575r175","13","180","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","22","Jumbo","SS398","295/80r22.5","18","18","jumbo-ss398-29580r225","18","290","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","23","Jumbo","SS618","275/70r22.5","40","40","","","","unpublished","unresolved","supplier imagery pending","withheld","Current identity, stock, price and publication approval required."
"1","24","Opartner","CP989","265/70r19.5","7","7","opartner-cp989-26570r195","7","220","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","25","Haulmax","ATT101","11r22.5","6","6","haulmax-att101-11r225","6","385","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","26","Haulmax","ATT101","275/70r22.5","5","5","haulmax-att101-27570r225","5","340","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"2","27","Haulmax","ATT420","295/80r22.5","2","2","haulmax-att420-29580r225","2","490","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"2","28","Sailun","SFR22","385/65r22.5","2","2","sailun-sfr22-38565r225","2","430","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"2","29","Sailun","S606","315/80r22.5","2","2","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","30","Marvemax","MX921","11r22.5","2","2","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","31","Roadone","HF21","11r22.5","1","1","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","32","Hawkway","HW863","11r22.5","3","3","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","33","Triangle","TR918","315/80r22.5","2","2","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","34","Triangle","TR685","305/70r19.5","5","5","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","35","Triangle","TRS02","305/70r22.5","2","2","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","36","Triangle","TR685","245/70r19.5","4","4","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","37","Nipon","AD156","11r22.5","7","7","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","38","Hankook","AH39","385/65r22.5","6","6","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","39","Regional","S647+","245/70r19.5","2","2","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","40","Westlake","GR9604","205/75r17.5","2","2","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","41","Westlake","Z-108","195/65r15","4","4","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","42","Sailun","S637+","255/70r22.5","4","4","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","43","Sailun","S637+","9.5r17.5","1","1","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","44","Sailun","S637+","255/85r11.5","2","2","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","45","Sailun","S637","215/75r17.5","1","1","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","46","Sailun","S637","265/70r19.5","1","1","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","47","Cotechoo","99t","215/70r16","12","12","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","48","Annaite","An900","195/85r16","5","5","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","49","Sailun","An800","225/75r16","6","6","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","50","Durable","Sport","255/40r19","1","1","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","51","Sailun","S702","205/75r17.5","2","2","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","52","Conqueror","At-5","285/60r18","4","4","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
"2","53","Roadstone","Hp02","195/60r16","1","1","","","","unpublished","unresolved","supplier imagery pending","historical-only","Current identity, stock, price and publication approval required."
